edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.591133716Z level=info msg="Executing migration" id="Update uid column values for migration"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.591189925Z level=info msg="Migration successfully executed" id="Update uid column values for migration" duration=56.959µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.5917933Z level=info msg="Executing migration" id="Add unique index migration_uid"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.592146008Z level=info msg="Migration successfully executed" id="Add unique index migration_uid" duration=352.791µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.592809633Z level=info msg="Executing migration" id="add migration run uid column"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.595054008Z level=info msg="Migration successfully executed" id="add migration run uid column" duration=2.243208ms
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.595855008Z level=info msg="Executing migration" id="Update uid column values for migration run"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.595896008Z level=info msg="Migration successfully executed" id="Update uid column values for migration run" duration=40.834µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.596630341Z level=info msg="Executing migration" id="Add unique index migration_run_uid"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.596958591Z level=info msg="Migration successfully executed" id="Add unique index migration_run_uid" duration=328.416µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.597829341Z level=info msg="Executing migration" id="alter kv_store.value to longtext"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.597850716Z level=info msg="Migration successfully executed" id="alter kv_store.value to longtext" duration=22.209µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.598628716Z level=info msg="Executing migration" id="add notification_settings column to alert_rule table"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.601210758Z level=info msg="Migration successfully executed" id="add notification_settings column to alert_rule table" duration=2.580375ms
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.602461425Z level=info msg="Executing migration" id="add notification_settings column to alert_rule_version table"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.604982466Z level=info msg="Migration successfully executed" id="add notification_settings column to alert_rule_version table" duration=2.521667ms
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.605820633Z level=info msg="Executing migration" id="removing scope from alert.instances:read action migration"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.605936383Z level=info msg="Migration successfully executed" id="removing scope from alert.instances:read action migration" duration=116.042µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.606659883Z level=info msg="Executing migration" id="managed folder permissions alerting silences actions migration"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.6067753Z level=info msg="Migration successfully executed" id="managed folder permissions alerting silences actions migration" duration=86.25µs
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.607528841Z level=info msg="Executing migration" id="add record column to alert_rule table"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.609984508Z level=info msg="Migration successfully executed" id="add record column to alert_rule table" duration=2.455667ms
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.6108408Z level=info msg="Executing migration" id="add record column to alert_rule_version table"
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.613217466Z level=info msg="Migration successfully executed" id="add record column to alert_rule_version table" duration=2.376916ms
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.6140143Z level=info msg="migrations completed" performed=572 skipped=0 duration=761.551125ms
edumind-grafana  | logger=migrator t=2026-04-23T04:38:57.614194966Z level=info msg="Unlocking database"
