edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.108539006Z level=info msg="Executing migration" id="managed dashboard permissions annotation actions migration"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.108703256Z level=info msg="Migration successfully executed" id="managed dashboard permissions annotation actions migration" duration=164.292µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.109282381Z level=info msg="Executing migration" id="create cloud_migration table v1"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.109476589Z level=info msg="Migration successfully executed" id="create cloud_migration table v1" duration=194.334µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.110083589Z level=info msg="Executing migration" id="create cloud_migration_run table v1"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.110270298Z level=info msg="Migration successfully executed" id="create cloud_migration_run table v1" duration=186.792µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.110898756Z level=info msg="Executing migration" id="add stack_id column"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.113050839Z level=info msg="Migration successfully executed" id="add stack_id column" duration=2.152167ms
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.113653256Z level=info msg="Executing migration" id="add region_slug column"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.115828673Z level=info msg="Migration successfully executed" id="add region_slug column" duration=2.181709ms
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.116399923Z level=info msg="Executing migration" id="add cluster_slug column"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.118502631Z level=info msg="Migration successfully executed" id="add cluster_slug column" duration=2.102834ms
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.119115589Z level=info msg="Executing migration" id="add migration uid column"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.121230298Z level=info msg="Migration successfully executed" id="add migration uid column" duration=2.114917ms
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.121810506Z level=info msg="Executing migration" id="Update uid column values for migration"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.121839381Z level=info msg="Migration successfully executed" id="Update uid column values for migration" duration=29µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.122294589Z level=info msg="Executing migration" id="Add unique index migration_uid"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.122584214Z level=info msg="Migration successfully executed" id="Add unique index migration_uid" duration=289.792µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.123179256Z level=info msg="Executing migration" id="add migration run uid column"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.125405756Z level=info msg="Migration successfully executed" id="add migration run uid column" duration=2.226583ms
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.126011548Z level=info msg="Executing migration" id="Update uid column values for migration run"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.126038631Z level=info msg="Migration successfully executed" id="Update uid column values for migration run" duration=27.5µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.126513381Z level=info msg="Executing migration" id="Add unique index migration_run_uid"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.126816381Z level=info msg="Migration successfully executed" id="Add unique index migration_run_uid" duration=303µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.127460881Z level=info msg="Executing migration" id="alter kv_store.value to longtext"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.127474339Z level=info msg="Migration successfully executed" id="alter kv_store.value to longtext" duration=13.625µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.128072839Z level=info msg="Executing migration" id="add notification_settings column to alert_rule table"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.130196381Z level=info msg="Migration successfully executed" id="add notification_settings column to alert_rule table" duration=2.123209ms
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.130813673Z level=info msg="Executing migration" id="add notification_settings column to alert_rule_version table"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.132974214Z level=info msg="Migration successfully executed" id="add notification_settings column to alert_rule_version table" duration=2.1605ms
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.133560964Z level=info msg="Executing migration" id="removing scope from alert.instances:read action migration"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.133618089Z level=info msg="Migration successfully executed" id="removing scope from alert.instances:read action migration" duration=57.209µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.134183256Z level=info msg="Executing migration" id="managed folder permissions alerting silences actions migration"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.134221464Z level=info msg="Migration successfully executed" id="managed folder permissions alerting silences actions migration" duration=38.25µs
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.134801006Z level=info msg="Executing migration" id="add record column to alert_rule table"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.137034923Z level=info msg="Migration successfully executed" id="add record column to alert_rule table" duration=2.233875ms
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.137670048Z level=info msg="Executing migration" id="add record column to alert_rule_version table"
edumind-grafana  | logger=migrator t=2026-04-23T04:32:23.139869214Z level=info msg="Migration successfully executed" id="add record column to alert_rule_version table" duration=2.199334ms
